District,State,Density,Latitude,Longitude

Thane,Maharashtra,1157.1613308223477,19.197002,72.977524

North Twenty Four Parganas,West Bengal,2444.9880312652663,22.7100,88.71090

South Twenty Four Parganas,West Bengal,819.4739959839358,22.1367,88.5565

Bulandshahar,Uttar Pradesh,775.5254875886525,28.4070,77.8498

Ribhoi,Meghalaya,105.73529411764706,25.9321,92.0665

Nicobars,Andaman and Nicobar,20.011950027159152,10.7449,92.5000

Bangalore,Karnataka,4381.398451730419,12.970541,77.604785

Pune,Maharashtra,602.7877005689446,18.482571,73.857768

Mumbai Suburban,Maharashtra,20979.735426008967,19.131577,72.891418

Barddhaman,West Bengal,1098.7418849658313,23.234467,87.868057

Ahmadabad,Gujarat,889.8760330578513,23.031773,72.530662

Murshidabad,West Bengal,1334.2988354620586,24.171817,88.281811

Jaipur,Rajasthan,594.6493762900476,26.904789,75.756797

Nashik,Maharashtra,393.25093367675464,19.982788,73.757391

Surat,Gujarat,1336.848098483183,21.187072,72.849587

Allahabad,Uttar Pradesh,1086.1712878511491,25.448429,81.832198

Paschim Medinipur,West Bengal,631.240072587532,22.388391,87.276758

Patna,Bihar,1823.3806995627733,25.604113,85.086854

Hugli,West Bengal,1752.6659256906955,22.872939,88.17086

Rangareddy,Andhra Pradesh,706.8918991058321,17.316629,77.925952

Nadia,West Bengal,1315.9154570919277,23.405057,88.360754

East Godavari,Andhra Pradesh,476.9405015267882,16.971918,82.240792

Purba Champaran,Bihar,1285.1237399193549,26.608367,84.952258

Purba Medinipur,West Bengal,1081.2380649267982,21.954131,87.802573

Guntur,Andhra Pradesh,429.094284961812,16.302448,80.444182

Haora,West Bengal,3306.0865712338104,22.615606,88.297995

Muzaffarpur,Bihar,1513.5756620428751,26.122593,85.390553

Belgaum,Karnataka,355.81485892950195,15.865191,74.508676

Moradabad,Uttar Pradesh,1283.487358795051,28.837397,78.755036

Ghaziabad,Uttar Pradesh,3970.860899067006,28.686014,77.432251

Nagpur,Maharashtra,470.4377274565305,21.148659,79.098122

Chennai,Tamil Nadu,26552.754285714287,13.086088,80.162749

Azamgarh,Uttar Pradesh,1138.1137148495313,26.085594,83.189713

Lucknow,Uttar Pradesh,1815.6004746835442,26.792975,80.911919

Kanpur Nagar,Uttar Pradesh,1452.0659270998415,26.298266,80.324695

Ahmadnagar,Maharashtra,266.4921984983576,23.591038,72.970139

Krishna,Andhra Pradesh,517.634696917612,16.189668,81.140037

Kolkata,West Bengal,24306.454054054055,22.661829,88.415518

Jaunpur,Uttar Pradesh,1112.9777117384845,25.764662,82.684997

Madhubani,Bihar,1281.7420736932304,26.515,84.763301

Sitapur,Uttar Pradesh,780.7752045969006,27.576549,80.671051

Bareilly,Uttar Pradesh,1079.698786407767,28.364082,79.426652

Gorakhpur,Uttar Pradesh,1337.2161999397772,26.748509,83.36944

Agra,Uttar Pradesh,1093.4909675822817,27.191807,77.994967

Gaya,Bihar,882.519694533762,24.795217,84.995628

Solapur,Maharashtra,289.879556898288,17.662493,75.917661

Visakhapatnam,Andhra Pradesh,384.42693307051337,17.679603,83.199149

Samastipur,Bihar,1467.4814049586778,25.860831,85.778099

Jalgaon,Maharashtra,359.5339566510837,21.003447,75.560103

Chittoor,Andhra Pradesh,275.4794086589229,13.201295,79.085185

Vadodara,Gujarat,552.03100980652,22.30952,73.173498

Muzaffarnagar,Uttar Pradesh,1033.810379241517,29.465855,77.707906

Malappuram,Kerala,1157.2650534608892,11.042133,76.083997

Hardoi,Uttar Pradesh,683.7362178416305,27.393388,80.135538

Anantapur,Andhra Pradesh,213.33758494511238,14.674913,77.590084

