District,State,Density,Latitude,Longitude
Thane,Maharashtra,1157.1613308223477,19.405779,75.70204
North Twenty Four Parganas,West Bengal,2444.9880312652663,23.269974,87.815506
Bangalore,Karnataka,4381.398451730419,14.882195,75.57454
Pune,Maharashtra,602.7877005689446,19.405779,75.70204
Mumbai Suburban,Maharashtra,20979.735426008967,19.405779,75.70204
South Twenty Four Parganas,West Bengal,819.4739959839358,23.269974,87.815506
Barddhaman,West Bengal,1098.7418849658313,23.269974,87.815506
Ahmadabad,Gujarat,889.8760330578513,23.361661,71.64895
Murshidabad,West Bengal,1334.2988354620586,23.269974,87.815506
Jaipur,Rajasthan,594.6493762900476,26.950688,73.786591
Nashik,Maharashtra,393.25093367675464,19.405779,75.70204
Surat,Gujarat,1336.848098483183,23.361661,71.64895
Allahabad,Uttar Pradesh,1086.1712878511491,26.879641,80.56982
Paschim Medinipur,West Bengal,631.240072587532,23.269974,87.815506
Patna,Bihar,1823.3806995627733,25.222194,85.547982
Hugli,West Bengal,1752.6659256906955,23.269974,87.815506
Rangareddy,Andhra Pradesh,706.8918991058321,14.762005,78.874889
Nadia,West Bengal,1315.9154570919277,23.269974,87.815506
East Godavari,Andhra Pradesh,476.9405015267882,14.762005,78.874889
Purba Champaran,Bihar,1285.1237399193549,25.222194,85.547982
Purba Medinipur,West Bengal,1081.2380649267982,23.269974,87.815506
Guntur,Andhra Pradesh,429.094284961812,14.762005,78.874889
Haora,West Bengal,3306.0865712338104,23.269974,87.815506
Muzaffarpur,Bihar,1513.5756620428751,25.222194,85.547982
Belgaum,Karnataka,355.81485892950195,14.882195,75.57454
Moradabad,Uttar Pradesh,1283.487358795051,26.879641,80.56982
Ghaziabad,Uttar Pradesh,3970.860899067006,26.879641,80.56982
Nagpur,Maharashtra,470.4377274565305,19.405779,75.70204
Chennai,Tamil Nadu,26552.754285714287,11.052213,78.408526
Azamgarh,Uttar Pradesh,1138.1137148495313,26.879641,80.56982
Lucknow,Uttar Pradesh,1815.6004746835442,26.879641,80.56982
Kanpur Nagar,Uttar Pradesh,1452.0659270998415,26.879641,80.56982
Ahmadnagar,Maharashtra,266.4921984983576,19.405779,75.70204
Krishna,Andhra Pradesh,517.634696917612,14.762005,78.874889
Kolkata,West Bengal,24306.454054054055,23.269974,87.815506
Jaunpur,Uttar Pradesh,1112.9777117384845,26.879641,80.56982
Madhubani,Bihar,1281.7420736932304,25.222194,85.547982
Sitapur,Uttar Pradesh,780.7752045969006,26.879641,80.56982
Bareilly,Uttar Pradesh,1079.698786407767,26.879641,80.56982
Gorakhpur,Uttar Pradesh,1337.2161999397772,26.879641,80.56982
Agra,Uttar Pradesh,1093.4909675822817,26.879641,80.56982
Gaya,Bihar,882.519694533762,25.222194,85.547982
Solapur,Maharashtra,289.879556898288,,
Visakhapatnam,Andhra Pradesh,384.42693307051337,,
Samastipur,Bihar,1467.4814049586778,,
Jalgaon,Maharashtra,359.5339566510837,,
Chittoor,Andhra Pradesh,275.4794086589229,,
Vadodara,Gujarat,552.03100980652,,
Muzaffarnagar,Uttar Pradesh,1033.810379241517,,
Malappuram,Kerala,1157.2650534608892,,
Hardoi,Uttar Pradesh,683.7362178416305,,
Anantapur,Andhra Pradesh,213.33758494511238,,
Raipur,Chhattisgarh,328.18153920697733,,
Kurnool,Andhra Pradesh,229.55391324045758,,
Mahbubnagar,Andhra Pradesh,219.89084201388889,,
Kheri,Uttar Pradesh,523.5993489583333,26.879641,80.56982
Kancheepuram,Tamil Nadu,891.8697300914566,11.052213,78.408526
Maldah,West Bengal,1068.536030002679,23.269974,87.815506
Saran,Bihar,1496.3506247633472,25.222194,85.547982
Hyderabad,Andhra Pradesh,18171.99539170507,14.762005,78.874889
Darbhanga,Bihar,1727.681000438789,25.222194,85.547982
West Godavari,Andhra Pradesh,508.5205373288556,14.762005,78.874889
Vellore,Tamil Nadu,647.955720164609,11.052213,78.408526
Pashchim Champaran,Bihar,752.685921958684,25.222194,85.547982
Kolhapur,Maharashtra,504.35927130774235,19.405779,75.70204
Jalpaiguri,West Bengal,621.944114340774,23.269974,87.815506
Rajkot,Gujarat,339.7533488122879,23.361661,71.64895
Sultanpur,Uttar Pradesh,855.9776825969342,26.879641,80.56982
Karimnagar,Andhra Pradesh,319.4002368265246,14.762005,78.874889
Thiruvallur,Tamil Nadu,1098.4395992928698,11.052213,78.408526
Aurangabad,Maharashtra,366.20975561492037,19.405779,75.70204
Jodhpur,Rajasthan,161.36389496717723,26.950688,73.786591
Bijnor,Uttar Pradesh,807.4354308265731,26.879641,80.56982
Budaun,Uttar Pradesh,712.4411764705883,26.879641,80.56982
Varanasi,Uttar Pradesh,2395.3361563517915,26.879641,80.56982
Alwar,Rajasthan,438.44618138424823,26.950688,73.786591
Aligarh,Uttar Pradesh,1006.5449315068494,26.879641,80.56982
North West,Delhi,8254.038374717833,28.557163,77.163665
Ghazipur,Uttar Pradesh,1072.0367189813444,26.879641,80.56982
Bankura,West Bengal,522.6204591688463,23.269974,87.815506
Kushinagar,Uttar Pradesh,1227.03752151463,26.879641,80.56982
Ganjam,Odisha,430.0549597855228,20.968861,85.745303
Warangal,Andhra Pradesh,273.43733457885725,14.762005,78.874889
Birbhum,West Bengal,770.6059405940595,23.269974,87.815506
Bulandshahar,Uttar Pradesh,775.5254875886525,26.879641,80.56982
Ludhiana,Punjab,977.8476802683064,30.753838,75.521637
Vaishali,Bihar,1716.611493123772,25.222194,85.547982
Nalgonda,Andhra Pradesh,245.0006320224719,14.762005,78.874889
Bahraich,Uttar Pradesh,665.978804659156,26.879641,80.56982
Salem,Tamil Nadu,664.8951689898797,11.052213,78.408526
Saharanpur,Uttar Pradesh,939.6535646516671,26.879641,80.56982
Viluppuram,Tamil Nadu,480.79969418960246,11.052213,78.408526
Coimbatore,Tamil Nadu,730.778740490279,11.052213,78.408526
Meerut,Uttar Pradesh,1345.716686205549,26.879641,80.56982
Gonda,Uttar Pradesh,857.8363727204596,26.879641,80.56982
Sitamarhi,Bihar,1492.4036617262423,25.222194,85.547982
Rae Bareli,Uttar Pradesh,738.8932523323931,26.879641,80.56982
Prakasam,Andhra Pradesh,192.75207080449337,,
Nanded,Maharashtra,319.2716565349544,19.405779,75.70204
Durg,Chhattisgarh,391.7834797891037,21.65204,81.871417
Siwan,Bihar,1500.8850833708877,25.222194,85.547982
Nagaur,Rajasthan,186.68828310193024,26.950688,73.786591
Thiruvananthapuram,Kerala,1508.1895842850618,9.791129,76.746728
Ernakulam,Kerala,1071.6252040483187,9.791129,76.746728
Indore,Madhya Pradesh,840.6097998973833,22.952601,78.35788
Purnia,Bihar,1011.0309693403531,25.222194,85.547982
Barabanki,Uttar Pradesh,740.731258518855,26.879641,80.56982
Ballia,Uttar Pradesh,1086.8077826232807,26.879641,80.56982
Pratapgarh,Uttar Pradesh,863.3685768092548,26.879641,80.56982
Thrissur,Kerala,1031.1199207135778,9.791129,76.746728
Banaskantha,Gujarat,290.4687703620962,23.361661,71.64895
Unnao,Uttar Pradesh,681.958534444932,26.879641,80.56982
Deoria,Uttar Pradesh,1220.8448818897639,26.879641,80.56982
Kozhikode,Kerala,1316.1164179104478,9.791129,76.746728
Mumbai,Maharashtra,19652.299363057326,19.405779,75.70204
Tirunelveli,Tamil Nadu,459.76886299118485,11.052213,78.408526
Katihar,Bihar,1004.5891396794243,25.222194,85.547982
Udaipur,Rajasthan,261.7212555441829,26.950688,73.786591
Madurai,Tamil Nadu,818.9358490566037,11.052213,78.408526
Bhagalpur,Bihar,1182.4702218762163,25.222194,85.547982
Medak,Andhra Pradesh,312.7423445716053,14.762005,78.874889
Uttar Dinajpur,West Bengal,957.6859872611465,23.269974,87.815506
Shahjahanpur,Uttar Pradesh,685.172743846855,26.879641,80.56982
Satara,Maharashtra,286.6165076335878,19.405779,75.70204
Mysore,Karnataka,475.840653242429,14.882195,75.57454
Begusarai,Bihar,1548.7700729927008,25.222194,85.547982
Sri Potti Sriramulu Nellore,Andhra Pradesh,226.64094524319364,14.762005,78.874889
Rohtas,Bihar,762.668899768101,25.222194,85.547982
Puruliya,West Bengal,468.14427224796293,23.269974,87.815506
Ranchi,Jharkhand,571.758485383559,23.663785,85.143872
Amravati,Maharashtra,236.56388206388206,19.405779,75.70204
YSR,Andhra Pradesh,187.67296047919785,14.762005,78.874889
Bhavnagar,Gujarat,287.06049431931433,23.361661,71.64895
Nalanda,Bihar,1221.9333333333334,25.222194,85.547982
Nagaon,Assam,710.7394915680845,26.272528,92.877434
Sangli,Maharashtra,329.2280681287914,19.405779,75.70204
Koch Bihar,West Bengal,832.3253616770003,23.269974,87.815506
Araria,Bihar,993.4872791519434,25.222194,85.547982
Palakkad,Kerala,626.9375278893351,9.791129,76.746728
Khammam,Andhra Pradesh,174.5193087528854,14.762005,78.874889
Yavatmal,Maharashtra,204.11927551170666,19.405779,75.70204
Junagadh,Gujarat,310.6196353753822,23.361661,71.64895
Adilabad,Andhra Pradesh,170.21043154299906,14.762005,78.874889
South,Delhi,11060.44129554656,28.557163,77.163665
Bhojpur,Bihar,1139.2096033402922,25.222194,85.547982
Tiruchirappalli,Tamil Nadu,603.7458416500333,11.052213,78.408526
Srikakulam,Andhra Pradesh,463.0998800753812,14.762005,78.874889
Maharajganj,Uttar Pradesh,909.4522357723578,26.879641,80.56982
Dhanbad,Jharkhand,1315.925,23.663785,85.143872
Tumkur,Karnataka,252.80551099367744,14.882195,75.57454
Sikar,Rajasthan,346.2665545783756,26.950688,73.786591
Bilaspur,Chhattisgarh,322.0054400386847,21.65204,81.871417
Kollam,Kerala,1061.3672976238422,9.791129,76.746728
Raigarh,Maharashtra,368.3165548098434,19.405779,75.70204
Fatehpur,Uttar Pradesh,634.0879094412331,26.879641,80.56982
Cuttack,Odisha,667.4643947100712,20.968861,85.745303
Cuddalore,Tamil Nadu,703.7304887928707,11.052213,78.408526
Barmer,Rajasthan,91.72335928417938,,
Buldana,Maharashtra,267.70085912431426,,
Bid,Maharashtra,241.75151968577575,,
Ajmer,Rajasthan,304.5692724914515,,
Gulbarga,Karnataka,234.2820887347088,,
Gopalganj,Bihar,1260.212493851451,,
Siddharthnagar,Uttar Pradesh,884.040414507772,,
Nizamabad,Andhra Pradesh,320.68061840120663,,
Bharatpur,Rajasthan,503.0521121200158,,
Mathura,Uttar Pradesh,762.6299401197605,,
West,Delhi,19563.407692307694,,
Aurangabad,Bihar,768.5546142208775,,
Kannur,Kerala,852.0780141843971,,
Mayurbhanj,Odisha,241.86388942215396,20.968861,85.745303
Firozabad,Uttar Pradesh,1037.8712089738262,26.879641,80.56982
Mirzapur,Uttar Pradesh,566.8490351872872,26.879641,80.56982
Amritsar,Punjab,928.3101006336191,30.753838,75.521637
Tiruppur,Tamil Nadu,477.93560825139775,11.052213,78.408526
Faizabad,Uttar Pradesh,1055.5301153353269,26.879641,80.56982
Tiruvannamalai,Tamil Nadu,398.3314479638009,11.052213,78.408526
Basti,Uttar Pradesh,916.8392857142857,26.879641,80.56982
Jabalpur,Madhya Pradesh,472.7094607560929,22.952601,78.35788
Latur,Maharashtra,342.9084812072097,19.405779,75.70204
Bellary,Karnataka,289.87058267344287,14.882195,75.57454
Giridih,Jharkhand,492.8403869407497,23.663785,85.143872
Sabarkantha,Gujarat,328.4540167703543,23.361661,71.64895
Bhilwara,Rajasthan,230.37044476327117,26.950688,73.786591
Thanjavur,Tamil Nadu,705.3327469950161,11.052213,78.408526
Ambedkar Nagar,Uttar Pradesh,1020.3778723404255,26.879641,80.56982
Panchmahal,Gujarat,457.03995411967117,23.361661,71.64895
Sagar,Madhya Pradesh,231.9994147483418,22.952601,78.35788
Bhopal,Madhya Pradesh,855.3611111111111,22.952601,78.35788
Rewa,Madhya Pradesh,374.5812480202724,22.952601,78.35788
Bikaner,Rajasthan,78.17510499685837,26.950688,73.786591
Surguja,Chhattisgarh,150.00546656496314,21.65204,81.871417
Vizianagaram,Andhra Pradesh,358.5370851812204,14.762005,78.874889
Rampur,Uttar Pradesh,986.8267849598648,26.879641,80.56982
Baleshwar,Odisha,609.7028376248029,20.968861,85.745303
Kheda,Gujarat,581.8074879838098,23.361661,71.64895
Gurdaspur,Punjab,647.2326105322444,30.753838,75.521637
Purbi Singhbhum,Jharkhand,643.9974733295901,23.663785,85.143872
South West,Delhi,5446.456057007126,28.557163,77.163665
Erode,Tamil Nadu,390.9277777777778,11.052213,78.408526
Khordha,Odisha,800.4525417703519,20.968861,85.745303
North East,Delhi,36155.22580645161,28.557163,77.163665
Supaul,Bihar,919.2065979381443,25.222194,85.547982
Satna,Madhya Pradesh,297.1121034390829,22.952601,78.35788
Nawada,Bihar,889.793905372895,25.222194,85.547982
Mau,Uttar Pradesh,1287.780502043199,26.879641,80.56982
Chandrapur,Maharashtra,192.63366250109237,19.405779,75.70204
Jalandhar,Punjab,835.9717987804878,30.753838,75.521637
Dhar,Madhya Pradesh,268.0967741935484,22.952601,78.35788
Bijapur,Karnataka,207.40436273575918,14.882195,75.57454
Jamnagar,Gujarat,152.29265369430345,23.361661,71.64895
Dindigul,Tamil Nadu,357.815606361829,11.052213,78.408526
Balrampur,Uttar Pradesh,641.5840549417736,26.879641,80.56982
Jhunjhunun,Rajasthan,360.50016869095816,26.950688,73.786591
Alappuzha,Kerala,1503.7378091872793,9.791129,76.746728
Dahod,Gujarat,584.043382756727,23.361661,71.64895
Sundargarh,Odisha,215.55158566721582,20.968861,85.745303
Anand,Gujarat,653.166354556804,23.361661,71.64895
Kachchh,Gujarat,45.81098655690327,23.361661,71.64895
Chhindwara,Madhya Pradesh,176.97181548878544,22.952601,78.35788
Dakshina Kannada,Karnataka,429.88047726805183,14.882195,75.57454
Bokaro,Jharkhand,715.3416579951439,23.663785,85.143872
Dhule,Maharashtra,285.03988881167476,19.405779,75.70204
Churu,Rajasthan,147.41937116010118,26.950688,73.786591
Pali,Rajasthan,164.49285541293293,26.950688,73.786591
Mahesana,Gujarat,462.40945239718246,23.361661,71.64895
Banka,Bihar,673.7625827814569,25.222194,85.547982
Gwalior,Madhya Pradesh,445.6219298245614,22.952601,78.35788
Pilibhit,Uttar Pradesh,551.0056972327726,26.879641,80.56982
Firozpur,Punjab,382.4833176248822,30.753838,75.521637
Madhepura,Bihar,1119.5536912751677,25.222194,85.547982
Jhansi,Uttar Pradesh,397.8111066878981,26.879641,80.56982
Ujjain,Madhya Pradesh,326.1966836315876,22.952601,78.35788
Kottayam,Kerala,895.0820489573889,9.791129,76.746728
Ganganagar,Rajasthan,179.37402076881034,26.950688,73.786591
Morena,Madhya Pradesh,394.06093405492084,22.952601,78.35788
Jalna,Maharashtra,253.8281938325991,19.405779,75.70204
Chandauli,Uttar Pradesh,768.4990161353797,26.879641,80.56982
Kota,Rajasthan,373.97239792984476,26.950688,73.786591
Dhubri,Assam,895.7987132352941,26.272528,92.877434
Davanagere,Karnataka,328.40935178933154,14.882195,75.57454
Virudhunagar,Tamil Nadu,457.9787785899552,11.052213,78.408526
Palamu,Jharkhand,441.58183473708175,23.663785,85.143872
Raichur,Karnataka,228.47808576166784,14.882195,75.57454
Sonitpur,Assam,369.7367409684858,26.272528,92.877434
Saharsa,Bihar,1126.6514522821576,25.222194,85.547982
Patiala,Punjab,570.1311278195489,30.753838,75.521637
Hardwar,Uttarakhand,801.0262711864407,30.217068,79.232506
Bagalkot,Karnataka,288.4236874236874,14.882195,75.57454
Farrukhabad,Uttar Pradesh,864.3759743237047,26.879641,80.56982
Krishnagiri,Tamil Nadu,366.5059465782804,11.052213,78.408526
Khargone,Madhya Pradesh,233.4013707165109,22.952601,78.35788
Kanniyakumari,Tamil Nadu,1110.6733966745844,11.052213,78.408526
Mainpuri,Uttar Pradesh,677.0032608695652,26.879641,80.56982
Sonbhadra,Uttar Pradesh,269.740622737147,26.879641,80.56982
Dharwad,Karnataka,433.5734741784037,14.882195,75.57454
Darjiling,West Bengal,586.4791997459511,23.269974,87.815506
Jyotiba Phule Nagar,Uttar Pradesh,818.239662072032,26.879641,80.56982
Parbhani,Maharashtra,295.4757000321854,19.405779,75.70204
Jalor,Rajasthan,171.87312030075188,26.950688,73.786591
Jajapur,Odisha,630.2835460503622,20.968861,85.745303
Akola,Maharashtra,319.57470049330516,,
Faridabad,Hariyana,2442.284750337382,,
Mandya,Karnataka,363.9195888754534,,
Kendujhar,Odisha,216.9978321088763,,
Banda,Uttar Pradesh,408.21460980036295,,
Banswara,Rajasthan,397.49778858911986,,
Kanpur Dehat,Uttar Pradesh,594.566037735849,,
Hassan,Karnataka,260.7016436747872,,
Hanumangarh,Rajasthan,183.79163214581607,,
Etah,Uttar Pradesh,729.9382969971206,,
Chhatarpur,Madhya Pradesh,202.87498561068264,,
Jamui,Bihar,568.2391865719819,,
Surendranagar,Gujarat,168.499280437494,,
Shimoga,Karnataka,206.741330502477,,
Thoothukkudi,Tamil Nadu,368.8463645943098,11.052213,78.408526
Hisar,Hariyana,437.84358523725837,26.740785,76.222735
Cachar,Assam,458.6944004226096,26.272528,92.877434
Hazaribagh,Jharkhand,487.9029535864979,23.663785,85.143872
Namakkal,Tamil Nadu,504.8540935672515,11.052213,78.408526
Shivpuri,Madhya Pradesh,171.47327637591894,22.952601,78.35788
West Tripura,Tripura,576.5917139993318,23.687391,91.587472
Sant Kabir Nagar,Uttar Pradesh,1042.0309842041313,26.879641,80.56982
East,Delhi,27132.47619047619,28.557163,77.163665
Buxar,Bihar,1001.968291250734,25.222194,85.547982
Valsad,Gujarat,567.0472074468086,23.361661,71.64895
Bidar,Karnataka,312.6468428781204,14.882195,75.57454
Bhind,Madhya Pradesh,381.9253195783808,22.952601,78.35788
Balaghat,Madhya Pradesh,184.38595730848414,22.952601,78.35788
Puri,Odisha,488.2811152630066,20.968861,85.745303
Dehradun,Uttarakhand,549.4475388601036,30.217068,79.232506
Barpeta,Assam,742.1656441717791,26.272528,92.877434
Kishanganj,Bihar,897.23991507431,25.222194,85.547982
Jalaun,Uttar Pradesh,370.20240963855423,26.879641,80.56982
Dakshin Dinajpur,West Bengal,755.4195583596214,23.269974,87.815506
Khagaria,Bihar,1121.7267833109017,25.222194,85.547982
Chitradurga,Karnataka,196.7112375533428,14.882195,75.57454
Osmanabad,Maharashtra,218.99537587528076,19.405779,75.70204
Kannauj,Uttar Pradesh,791.5031055900621,26.879641,80.56982
Sangrur,Punjab,456.59834482758623,30.753838,75.521637
Balangir,Odisha,250.79802281368822,20.968861,85.745303
Udham Singh Nagar,Uttarakhand,648.663257277734,30.217068,79.232506
Nandurbar,Maharashtra,276.791771620487,19.405779,75.70204
Gautam Buddha Nagar,Uttar Pradesh,1285.5811232449298,26.879641,80.56982
Bhiwani,Hariyana,342.0772289660946,26.740785,76.222735
Dausa,Rajasthan,476.2263986013986,26.950688,73.786591
Kaimur,Bihar,488.11044417767107,25.222194,85.547982
Janjgir - Champa,Chhattisgarh,420.3755515182974,21.65204,81.871417
Pudukkottai,Tamil Nadu,348.4808354866494,11.052213,78.408526
Nagapattinam,Tamil Nadu,629.2137018295057,11.052213,78.408526
Ratnagiri,Maharashtra,196.7676656920078,19.405779,75.70204
Kaushambi,Uttar Pradesh,899.1545812254076,26.879641,80.56982
Haveri,Karnataka,331.2602114866266,14.882195,75.57454
Hoshiarpur,Punjab,468.5838747784997,30.753838,75.521637
Etawah,Uttar Pradesh,684.469926438771,26.879641,80.56982
Sant Ravidas Nagar,Uttar Pradesh,1554.8896551724138,26.879641,80.56982
Kalahandi,Odisha,199.0996212121212,20.968861,85.745303
Betul,Madhya Pradesh,156.86169471273524,22.952601,78.35788
Mahamaya Nagar,Uttar Pradesh,850.3847826086957,26.879641,80.56982
Dewas,Madhya Pradesh,222.7514245014245,22.952601,78.35788
Bharuch,Gujarat,238.28836994930097,23.361661,71.64895
Rajgarh,Madhya Pradesh,251.2293190313668,22.952601,78.35788
Chittaurgarh,Rajasthan,197.4351828176937,26.950688,73.786591
Rajnandgaon,Chhattisgarh,190.47496902106568,21.65204,81.871417
Kolar,Karnataka,386.1274189494848,14.882195,75.57454
Jammu,Jammu and Kashmir,653.2698548249359,33.557742,75.102396
Kamrup,Assam,488.741384863124,26.272528,92.877434
Gurgaon,Hariyana,1203.8410174880762,26.740785,76.222735
Amreli,Gujarat,204.70325807759903,23.361661,71.64895
Shajapur,Madhya Pradesh,244.1777239709443,22.952601,78.35788
Kangra,Himachal Pradesh,263.1251089039902,31.903523,77.270865
Dharmapuri,Tamil Nadu,335.0773849232822,11.052213,78.408526
Bhadrak,Odisha,601.3321357285429,20.968861,85.745303
Karnal,Hariyana,597.3507936507937,26.740785,76.222735
Pashchimi Singhbhum,Jharkhand,207.96483942414176,23.663785,85.143872
Raigarh,Chhattisgarh,210.83601467682755,21.65204,81.871417
Deoghar,Jharkhand,602.3710133225676,23.663785,85.143872
Bargarh,Odisha,253.76991605276683,20.968861,85.745303
Vidisha,Madhya Pradesh,197.92090625423958,22.952601,78.35788
Karauli,Rajasthan,263.9840695148443,26.950688,73.786591
Ratlam,Madhya Pradesh,299.335321950216,22.952601,78.35788
Sonipat,Hariyana,683.318096135721,26.740785,76.222735
Tikamgarh,Madhya Pradesh,286.2848652931854,22.952601,78.35788
Kendrapara,Odisha,544.7658850226929,20.968861,85.745303
Uttara Kannada,Karnataka,139.84324219130096,14.882195,75.57454
Kanshiram Nagar,Uttar Pradesh,734.8946291560102,26.879641,80.56982
Tonk,Rajasthan,197.57103141506812,26.950688,73.786591
Bastar,Chhattisgarh,134.97602674307547,21.65204,81.871417
Jhalawar,Rajasthan,226.90609422736773,26.950688,73.786591
Gandhinagar,Gujarat,650.3518691588785,23.361661,71.64895
Koppal,Karnataka,249.53680430879712,,
Dungarpur,Rajasthan,368.3161803713528,,
Bathinda,Punjab,414.11422606620937,,
Barwani,Madhya Pradesh,255.36779067624838,,
Koraput,Odisha,156.65345747700692,,
Auraiya,Uttar Pradesh,684.2981150793651,,
Seoni,Madhya Pradesh,157.47099794473624,,
