id,name,state,pop_density,latitude,longitude
1,Thane,Maharashtra,1157,0.335051,1.273698
2,North Twenty Four Parganas,West Bengal,2445,0.396364,1.548297
3,South Twenty Four Parganas,West Bengal,819,0.386358,1.545602
4,Bulandshahar,Uttar Pradesh,776,0.495796,1.358735
5,Ribhoi,Meghalaya,106,0.452601,1.606864
6,Nicobars,Andaman and Nicobar,20,0.187534,1.614430
7,Bangalore,Karnataka,4381,0.226379,1.354459
8,Pune,Maharashtra,603,0.322582,1.289061
9,Mumbai Suburban,Maharashtra,20980,0.333909,1.272195
10,Barddhaman,West Bengal,1099,0.405518,1.533587
11,Ahmadabad,Gujarat,890,0.401980,1.265899
12,Murshidabad,West Bengal,1334,0.421878,1.540808
13,Jaipur,Rajasthan,595,0.469577,1.322206
14,Nashik,Maharashtra,393,0.348765,1.287309
15,Surat,Gujarat,1337,0.369784,1.271465
16,Allahabad,Uttar Pradesh,1086,0.444159,1.428241
17,Paschim Medinipur,West Bengal,631,0.390751,1.523267
18,Patna,Bihar,1823,0.446876,1.485046
19,Hugli,West Bengal,1753,0.399208,1.538872
20,Rangareddy,Andhra Pradesh,707,0.302232,1.360064
21,Nadia,West Bengal,1316,0.408495,1.542186
22,East Godavari,Andhra Pradesh,477,0.296216,1.435373
23,Purba Champaran,Bihar,1285,0.464404,1.482697
24,Purba Medinipur,West Bengal,1081,0.383172,1.532444
25,Guntur,Andhra Pradesh,429,0.284531,1.404016
26,Haora,West Bengal,3306,0.394717,1.541091
27,Muzaffarpur,Bihar,1514,0.455925,1.490346
28,Belgaum,Karnataka,356,0.276900,1.300422
29,Moradabad,Uttar Pradesh,1283,0.503308,1.374535
30,Ghaziabad,Uttar Pradesh,3971,0.500665,1.351448
31,Nagpur,Maharashtra,470,0.369114,1.380523
32,Chennai,Tamil Nadu,26553,0.228395,1.399104
33,Azamgarh,Uttar Pradesh,1138,0.455280,1.451934
34,Lucknow,Uttar Pradesh,1816,0.467626,1.412179
35,Kanpur Nagar,Uttar Pradesh,1452,0.458991,1.401930
36,Ahmadnagar,Maharashtra,266,0.411741,1.273569
37,Krishna,Andhra Pradesh,518,0.282563,1.416161
38,Kolkata,West Bengal,24306,0.395524,1.543142
39,Jaunpur,Uttar Pradesh,1113,0.449678,1.443125
40,Madhubani,Bihar,1282,0.462774,1.479399
41,Sitapur,Uttar Pradesh,781,0.481302,1.407975
42,Bareilly,Uttar Pradesh,1080,0.495047,1.386257
43,Gorakhpur,Uttar Pradesh,1337,0.466850,1.455071
44,Agra,Uttar Pradesh,1093,0.474587,1.361269
45,Gaya,Bihar,883,0.432758,1.483454
46,Solapur,Maharashtra,290,0.308269,1.325013
47,Visakhapatnam,Andhra Pradesh,384,0.308567,1.452099
48,Samastipur,Bihar,1467,0.451357,1.497110
49,Jalgaon,Maharashtra,360,0.366579,1.318773
50,Chittoor,Andhra Pradesh,275,0.230406,1.380297
51,Vadodara,Gujarat,552,0.389375,1.277118
52,Muzaffarnagar,Uttar Pradesh,1034,0.514276,1.356259
53,Malappuram,Kerala,1157,0.192722,1.327916
54,Hardoi,Uttar Pradesh,684,0.478105,1.398629
55,Anantapur,Andhra Pradesh,213,0.256126,1.354202
56,Raipur,Chhattisgarh,328,0.370534,1.425121
57,Kurnool,Andhra Pradesh,230,0.276277,1.361847
58,Mahbubnagar,Andhra Pradesh,220,0.292240,1.361391
59,Kheri,Uttar Pradesh,524,0.487031,1.410175
60,Kancheepuram,Tamil Nadu,892,0.223920,1.391097
61,Maldah,West Bengal,1069,0.439370,1.496785
62,Saran,Bihar,1496,0.451963,1.480005
63,Hyderabad,Andhra Pradesh,18172,0.304425,1.369394
64,Darbhanga,Bihar,1728,0.456283,1.499301
65,West Godavari,Andhra Pradesh,509,0.291726,1.415394
66,Vellore,Tamil Nadu,648,0.225195,1.381074
67,Pashchim Champaran,Bihar,753,0.473175,1.472157
68,Kolhapur,Maharashtra,504,0.291182,1.295745
69,Jalpaiguri,West Bengal,622,0.463062,1.548340
70,Rajkot,Gujarat,340,0.388909,1.235581
71,Sultanpur,Uttar Pradesh,856,0.458178,1.432451
72,Karimnagar,Andhra Pradesh,319,0.321885,1.381026
73,Thiruvallur,Tamil Nadu,1098,0.229175,1.394816
74,Aurangabad,Maharashtra,366,0.432005,1.472545
75,Jodhpur,Rajasthan,161,0.458065,1.274115
76,Bijnor,Uttar Pradesh,807,0.512798,1.363786
77,Budaun,Uttar Pradesh,712,0.489289,1.381008
78,Varanasi,Uttar Pradesh,2395,0.441222,1.447620
79,Alwar,Rajasthan,438,0.481164,1.337159
80,Aligarh,Uttar Pradesh,1007,0.486850,1.362799
81,North West,Delhi,8254,0.502142,1.345466
82,Ghazipur,Uttar Pradesh,1072,0.446593,1.458572
83,Bankura,West Bengal,523,0.405589,1.519385
84,Kushinagar,Uttar Pradesh,1227,0.466690,1.464435
85,Ganjam,Odisha,430,0.337031,1.479957
86,Warangal,Andhra Pradesh,273,0.314073,1.388655
87,Birbhum,West Bengal,771,0.416157,1.529509
88,Ludhiana,Punjab,978,0.539319,1.323926
89,Vaishali,Bihar,1717,0.445438,1.483390
90,Nalgonda,Andhra Pradesh,245,0.297534,1.383604
91,Bahraich,Uttar Pradesh,666,0.481285,1.424176
92,Salem,Tamil Nadu,665,0.203298,1.362414
93,Saharanpur,Uttar Pradesh,940,0.523027,1.353386
94,Viluppuram,Tamil Nadu,481,0.208508,1.387466
