District,State,Density
Thane,Maharashtra,1157.1613308223477
North Twenty Four Parganas,West Bengal,2444.9880312652663
Bangalore,Karnataka,4381.398451730419
Pune,Maharashtra,602.7877005689446
Mumbai Suburban,Maharashtra,20979.735426008967
South Twenty Four Parganas,West Bengal,819.4739959839358
Barddhaman,West Bengal,1098.7418849658313
Ahmadabad,Gujarat,889.8760330578513
Murshidabad,West Bengal,1334.2988354620586
Jaipur,Rajasthan,594.6493762900476
Nashik,Maharashtra,393.25093367675464
Surat,Gujarat,1336.848098483183
Allahabad,Uttar Pradesh,1086.1712878511491
Paschim Medinipur,West Bengal,631.240072587532
Patna,Bihar,1823.3806995627733
Hugli,West Bengal,1752.6659256906955
Rangareddy,Andhra Pradesh,706.8918991058321
Nadia,West Bengal,1315.9154570919277
East Godavari,Andhra Pradesh,476.9405015267882
Purba Champaran,Bihar,1285.1237399193549
Purba Medinipur,West Bengal,1081.2380649267982
Guntur,Andhra Pradesh,429.094284961812
Haora,West Bengal,3306.0865712338104
Muzaffarpur,Bihar,1513.5756620428751
Belgaum,Karnataka,355.81485892950195
Moradabad,Uttar Pradesh,1283.487358795051
Ghaziabad,Uttar Pradesh,3970.860899067006
Nagpur,Maharashtra,470.4377274565305
Chennai,Tamil Nadu,26552.754285714287
Azamgarh,Uttar Pradesh,1138.1137148495313
Lucknow,Uttar Pradesh,1815.6004746835442
Kanpur Nagar,Uttar Pradesh,1452.0659270998415
Ahmadnagar,Maharashtra,266.4921984983576
Krishna,Andhra Pradesh,517.634696917612
Kolkata,West Bengal,24306.454054054055
Jaunpur,Uttar Pradesh,1112.9777117384845
Madhubani,Bihar,1281.7420736932304
Sitapur,Uttar Pradesh,780.7752045969006
Bareilly,Uttar Pradesh,1079.698786407767
Gorakhpur,Uttar Pradesh,1337.2161999397772
Agra,Uttar Pradesh,1093.4909675822817
Gaya,Bihar,882.519694533762
Solapur,Maharashtra,289.879556898288
Visakhapatnam,Andhra Pradesh,384.42693307051337
Samastipur,Bihar,1467.4814049586778
Jalgaon,Maharashtra,359.5339566510837
Chittoor,Andhra Pradesh,275.4794086589229
Vadodara,Gujarat,552.03100980652
Muzaffarnagar,Uttar Pradesh,1033.810379241517
Malappuram,Kerala,1157.2650534608892
Hardoi,Uttar Pradesh,683.7362178416305
Anantapur,Andhra Pradesh,213.33758494511238
Raipur,Chhattisgarh,328.18153920697733
Kurnool,Andhra Pradesh,229.55391324045758
Mahbubnagar,Andhra Pradesh,219.89084201388889
Kheri,Uttar Pradesh,523.5993489583333
Kancheepuram,Tamil Nadu,891.8697300914566
Maldah,West Bengal,1068.536030002679
Saran,Bihar,1496.3506247633472
Hyderabad,Andhra Pradesh,18171.99539170507
Darbhanga,Bihar,1727.681000438789
West Godavari,Andhra Pradesh,508.5205373288556
Vellore,Tamil Nadu,647.955720164609
Pashchim Champaran,Bihar,752.685921958684
Kolhapur,Maharashtra,504.35927130774235
Jalpaiguri,West Bengal,621.944114340774
Rajkot,Gujarat,339.7533488122879
Sultanpur,Uttar Pradesh,855.9776825969342
Karimnagar,Andhra Pradesh,319.4002368265246
Thiruvallur,Tamil Nadu,1098.4395992928698
Aurangabad,Maharashtra,366.20975561492037
Jodhpur,Rajasthan,161.36389496717723
Bijnor,Uttar Pradesh,807.4354308265731
Budaun,Uttar Pradesh,712.4411764705883
Varanasi,Uttar Pradesh,2395.3361563517915
