District,State,Density,Latitude,Longitude
Thane,Maharashtra,1157.1613308223477,19.2183,72.9781
Bangalore,Karnataka,4381.398451730419,12.9716,77.5946
Pune,Maharashtra,602.7877005689446,18.5204,73.8567
Ahmadabad,Gujarat,889.8760330578513,23.0225,72.5714
Murshidabad,West Bengal,1334.2988354620586,24.1759,88.2802
Jaipur,Rajasthan,594.6493762900476,26.9124,75.7873
Nashik,Maharashtra,393.25093367675464,19.9975,73.7898
Surat,Gujarat,1336.848098483183,21.1702,72.8311
Allahabad,Uttar Pradesh,1086.1712878511491,25.4358,81.8463
Patna,Bihar,1823.3806995627733,25.5941,85.1376
Nadia,West Bengal,1315.9154570919277,23.471,88.5565
Guntur,Andhra Pradesh,429.094284961812,16.3067,80.4365
Muzaffarpur,Bihar,1513.5756620428751,26.1197,85.391
Belgaum,Karnataka,355.81485892950195,15.8497,74.4977
Ghaziabad,Uttar Pradesh,3970.860899067006,28.6692,77.4538
Nagpur,Maharashtra,470.4377274565305,21.1458,79.0882
Chennai,Tamil Nadu,26552.754285714287,13.0827,80.2707
Azamgarh,Uttar Pradesh,1138.1137148495313,26.0739,83.1859
Lucknow,Uttar Pradesh,1815.6004746835442,26.8467,80.9462
Kanpur Nagar,Uttar Pradesh,1452.0659270998415,26.4148,80.2321
Krishna,Andhra Pradesh,517.634696917612,16.61,80.7214
Kolkata,West Bengal,24306.454054054055,22.5726,88.3639
Jaunpur,Uttar Pradesh,1112.9777117384845,25.7464,82.6837
Madhubani,Bihar,1281.7420736932304,26.3483,86.0712
Sitapur,Uttar Pradesh,780.7752045969006,27.568,80.679
Bareilly,Uttar Pradesh,1079.698786407767,28.367,79.4304
Gorakhpur,Uttar Pradesh,1337.2161999397772,26.7606,83.3732
Agra,Uttar Pradesh,1093.4909675822817,27.1767,78.0081
Gaya,Bihar,882.519694533762,24.7914,85.0002
Solapur,Maharashtra,289.879556898288,17.6599,75.9064
Visakhapatnam,Andhra Pradesh,384.42693307051337,17.6868,83.2185
