id,name,state,10-14,15-19,20-24,25-29,30-34,35-39,40-49,5-9,50-59,60-69,70-79,80+,latitude,longitude
1,Adilabad ,ANDHRA PRADESH ,18,17,16,14,12,12,18,15,11,9,3,1,0.343321,1.370591
2,Agra ,UTTAR PRADESH ,142,134,106,84,70,69,105,132,65,42,18,9,0.474587,1.361269
3,Ahmadabad ,GUJARAT ,82,83,87,83,74,66,110,77,76,43,19,8,0.401980,1.265899
4,Ahmadnagar ,MAHARASHTRA ,26,25,25,22,19,18,30,23,20,17,8,3,0.411741,1.273569
5,Aizawl ,MIZORAM ,10,11,11,11,9,8,12,10,8,4,2,0,0.414236,1.618236
6,Ajmer ,RAJASTHAN ,34,31,28,24,21,19,32,33,22,13,6,2,0.461982,1.302681
7,Akola ,MAHARASHTRA ,32,31,31,27,23,22,38,27,25,19,9,3,0.361462,1.343986
8,Alappuzha ,KERALA ,116,104,103,106,108,119,230,103,186,127,67,31,0.165773,1.332365
9,Aligarh ,UTTAR PRADESH ,130,120,96,74,63,60,91,123,58,41,19,9,0.486850,1.362799
10,Alirajpur ,MADHYA PRADESH ,32,22,16,14,13,13,22,35,14,7,3,1,0.389283,1.297741
11,Allahabad  ,UTTAR PRADESH ,137,126,98,83,71,68,103,134,66,50,21,10,0.444159,1.428241
12,Almora,UTTARAKHAND ,22,22,16,13,12,11,20,19,16,14,7,2,0.516587,1.390266
13,Alwar ,RAJASTHAN ,54,48,42,34,30,27,42,51,26,18,9,4,0.481164,1.337159
14,Ambala ,Hariyana ,63,70,73,67,56,52,87,60,57,42,19,8,0.529776,1.341327
15,Ambedkar Nagar ,UTTAR PRADESH ,133,125,88,69,63,62,93,126,61,57,25,11,0.461220,1.442065
16,Amravati ,MAHARASHTRA ,23,23,22,19,17,17,29,19,19,15,8,2,0.365513,1.357169
17,Amreli ,GUJARAT ,21,22,19,15,14,13,24,18,16,11,6,3,0.377006,1.243037
18,Amritsar  ,PUNJAB ,88,97,94,84,70,66,111,80,73,54,23,11,0.552273,1.306668
19,Anand   ,GUJARAT ,63,60,60,54,52,48,81,58,57,35,15,5,0.393731,1.273411
20,Anantapur ,ANDHRA PRADESH ,20,20,19,19,16,16,24,18,16,14,5,2,0.256126,1.354202
21,Anantnag ,JAMMU and KASHMIR ,37,29,26,23,20,18,28,38,17,11,5,2,0.588832,1.311526
22,Anjaw ,ARUNACHAL PRADESH ,0,0,0,0,0,0,0,0,0,0,0,0,0.489835,1.689981
23,Anugul   ,ODISHA ,21,19,18,17,15,15,23,18,15,11,5,1,0.363777,1.485294
24,Anuppur ,MADHYA PRADESH ,22,19,19,16,13,13,23,21,14,8,3,1,0.403231,1.425774
